galaxyName,target type,right ascension,declination,equinox,bandpass,minimum magnitude,maximum magnitude,ranking,observing time,maximum lunar phase,exposure time,s/n,morphology,galaxyRedshift,slit width,grating,camera station,grating angle,h-alpha,impactParameter (kpc),vcorrGalaxy (km/s),majorAxis (kpc),angDiameter (arcsec),likelihood,possible_lya,inclination (deg),PA,positionAngle (deg),azimuth (deg),RC3type,RC3pa (deg),groups_dist_std (Mpc)
NGC4536,SpiralG,188.61271,2.18814,2000,B,11.16,11.16,Medium,44,25,18,100,SAB(rs)bc;HII  Sbrst,0.006031,0.6,pg2300,100,50,6602.380247,347.2467113,2102.59,33.87,"(456.0, 192.0)",0.045446024,"1854, 2311, strong",65,130,x,85.9,.SXT4..,130,[]
UGC05357,SpiralG,149.67404,5.26436,2000,B,16.5,16.5,Medium,526,180,500,29,Scd:,0.013514,0.6,pg2300,100,50,6651.489679,256.8563068,4289.35,20.9,"(71.3, 19.9)",0.037145955,"3900 no ID, strong",73,50,50,85.2,x,x,[]
NGC0768,SpiralG,29.67056,0.52922,2000,B,14.3,14.3,Medium,315,90,289,100,SB(r)bc:,0.023419,0.6,pg2300,97.75,48.875,6716.494213,486.1589792,6752.26,48.61,"(114.6, 34.2)",0.025217109,"7080, medium",72,30,x,85,.SBR4*.,30,[]
CGCG072-007,Galaxy,197.31227,8.53172,2000,B,15.2,15.2,Medium,526,90,500,90,x,0.023746,0.6,pg2300,97.75,48.875,6718.640249,439.8537278,7413.25,32.75,"(64.7, 41.41)",0.005541604,"7279, medium",50,10,10,43.2,x,x,[]
NGC1566,SpiralG,65.00175,-54.93781,2000,B,10.3,10.3,Medium,33,25,8,100,(R'_1)SAB(rs)bcSy1,0.005017,0.6,pg2300,98.5,49.25,6595.725568,421.6889476,1360.57,28.57,"(498.0, 396.0)",0.003134189,"1050, 1360, 1500 no IDs",37,60,x,9.9,.SXS4..,60,"[('LGG114', '18.6300428986', '1.72617861283')]"
NGC2962,SpiralG,145.22473,5.16581,2000,B,12.96,12.96,Medium,118,25,92,100,(R)SAB(rs)0+,0.006558,0.6,pg2300,100,50,6605.838842,445.1739485,2189.95,28.98,"(174.9, 90.95)",0.001835688,"2000, no IDs",58,3,0,61.2,RLXT+..,3,[]
2MASXJ11383327-1344240,Galaxy,174.6386,-13.74015,2000,B,14.33,14.33,Medium,272,25,246,100,x,0.031749,0.6,pg2300,97.75,48.875,6771.162337,443.2814439,9779.72,23.11,"(34.6, 22.84)",0.000196039,lots but no IDs,48,40,40,84.8,x,x,[]
IC1761,SpiralG,29.71788,0.5683,2000,B,15.16,15.16,Medium,526,25,500,90,S0?,0.023368,0.6,pg2300,97.75,48.875,6716.15951,492.273862,6737.4,20.2,"(43.9, 36.88)",3.12E-06,"7080, medium",32,50,50,75.7,x,x,[]
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,total time:,5628.5,,,,,,,,,,,,,,,,,,,,,,,
