galaxyName,target type,right ascension,declination,equinox,bandpass,minimum magnitude,maximum magnitude,ranking,observing time,maximum lunar phase,exposure time,extra overhead,morphology,galaxyRedshift,slit width,grating,camera station,grating angle,h-alpha,impactParameter (kpc),vcorrGalaxy (km/s),majorAxis (kpc),angDiameter (arcsec),likelihood,possible_lya,inclination (deg),PA,positionAngle (deg),azimuth (deg),RC3type,RC3pa (deg),groups_dist_std (Mpc)
NGC5364,SpiralG,209.05,5.01447,2000,B,11.2,11.2,High,42,15,17,,SA(rs)bc pec   HII,0.00414,0.6,pg2300,99.25,49.625,6589.969992,183.1138939,1516.42,37.16,"(380.4, 216.83)",0.469364012,"1124, 1296, strong",55,48,48,84.3,.SAT4P.,30,[]
NGC0731,EllipticalG,28.7342,-9.01081,2000,B,13.46,13.46,High,145,15,119,25,E+:,0.012782,0.6,pg2300,100,50,6646.68571,132.2096694,3553.64,23.05,"(95.0, 85.5)",0.466661941,"4761, strong",25,150,150,83.2,.E+..*.,-99,[]
UGC08979,SpiralG,211.03192,6.48589,2000,B,16,16,Medium,1457.9,25,,,Sbc,0.024807,0.6,pg2300,99.25,49.625,6725.60338,182.7580075,7709.47,36.76,"(62.4, 16.22)",0.465437862,"7500, strong but no ID",74,15,15,64.4,x,x,[]
NGC4224,SpiralG,184.14077,7.46209,2000,B,12.52,12.52,Medium,83,25,,,SA(s)a: sp;Sy  LINER,0.008683,0.6,pg2300,99.25,49.625,6619.784792,157.4215864,2901.32,28.72,"(168.8, 87.78)",0.450368196,x,58,55,55,61.3,.SAS1*/,57,[]
NGC0078B,SpiralG,5.11464,0.83355,2000,B,14.5,14.5,Medium,335.1,25,309.38,,S0^0^ pec?,0.018436,0.6,pg2300,99.25,49.625,6683.791781,189.1399684,5235.74,36.47,"(102.0, 75.48)",0.436868166,"x, close pair with NGC0078A",42,140,140,68.3,.SBR0*.,80,[]
UGC08186,SpiralG,196.49433,3.95644,2000,B,15.35,15.35,Medium,?,,,,Scd(f),0.023369,0.6,pg2300,99.25,49.625,6716.166073,248.6567219,7298.15,52.84,"(109.2, 26.21)",0.423988777,x,76,105,105,14.1,x,x,[]
NGC0713,SpiralG,28.83972,-9.08375,2000,B,15,15,High,1911,90,1892,25,Sc(f),0.017475,0.6,pg2300,100,50,6677.48493,167.2386149,4960.81,27.27,"(80.5, 22.54)",0.380221013,"4761, strong",73,95,95,80.3,x,x,[]
MCG-03-58-009,SpiralG,343.42021,-17.47889,2000,B,15.04,15.04,Medium,,,,,Sc,0.030121,0.6,pg2300,99.25,49.25,6760.478099,320.0509932,8753.81,67.89,"(109.4, 56.89)",0.365722514,"9051,weak",58,175,175,39,.S?....,27,[]
MCG-04-26-019,SpiralG,165.70883,-23.59161,2000,B,13.9,13.9,High,235,25,217,,(R:)SA:(s)ab   HII,0.012086,0.6,pg2300,100,50,6642.118001,179.153512,3846.16,27.92,"(116.3, 48.85)",0.341569016,"3580, strong",65,35,35,26.3,PSXT2..,30,[]
2MASXJ11005006+1042257,Galaxy,165.20864,10.70738,2000,B,18.2,18.2,Medium,,,,,x,0.03297,0.6,pg2300,98.5,49.25,6779.175516,159.4102299,10163.65,20.06,"(28.9, 14.28)",0.261271485,x,60,35,35,43,.SXT4..,-99,[]
MCG-05-01-020,EllipticalG,359.90754,-30.65583,2000,B,15.5,15.5,High,755,90,737,,E,0.029891,0.6,pg2300,100,50,6758.968655,237.2931127,8677.05,34.6,"(58.4, 31.54)",0.24618591,"8966, strong",57,115,115,10.2,x,x,[]
NGC4380,SpiralG,186.34238,10.01681,2000,B,12.66,12.66,Medium,,,,,SA(rs)b:?;Sy   LINER,0.003212,0.6,pg2300,98.5,49.25,6583.879714,195.8652921,1262.6,25.38,"(262.5, 183.75)",0.231172385,x,45,165,165,86.5,.SAT3*$,153,[]
2dFGRSS357Z063,Galaxy,359.90758,-30.65589,2000,B,14.97,14.97,High,435,90,417,,S0,0.0301,0.6,pg2300,96.25,48.125,6760.34028,239.1202735,8740.05,32.94,"(55.2, 37.2)",0.217999895,"8966, strong",47,115,x,x,x,x,[]
UGC04239,SpiralG,121.99208,5.20667,2000,B,15.3,15.3,High,719,90,701,,Sb,0.02923,0.6,pg2300,97.75,48.875,6754.630644,378.3226481,8893.11,55.81,"(91.9, 66.17)",0.15851862,"8927, 8740, strong",43,115,115,37.6,x,x,[]
NGC4246,SpiralG,184.49216,7.18591,2000,B,13.38,13.38,Low,,,,,SA(s)c,0.012409,0.6,pg2300,98.5,49.25,6644.237785,333.6953643,4018.26,42.12,"(145.9, 128.39)",0.120870734,x,28,90,90,3.7,.SAS5..,83,[]
2MASXJ11005426+1041087,SpiralG,165.2262,10.68571,2000,B,18.32,18.32,Low,,,,,S0,0.031749,0.6,pg2300,98.5,49.25,6771.162337,213.8473985,9797.67,21.21,"(31.7, 14.58)",0.106824655,x,62,35,35,52.1,x,x,[]
SDSSJ021315.79-073942.7,Galaxy,33.31582,-7.66188,2000,B,13.87,13.87,Medium,,,,,x,0.016011,0.6,pg2300,98.5,49.25,6667.876991,268.1771169,4531.79,28.29,"(91.43, 58.51)",0.094072736,"4756,4833, strong",50,109,109,9.5,PSBT1..,-99,[]
NGC3630,SpiralG,170.07075,2.96439,2000,B,12.91,12.91,Low,,,,,S0,0.004953,0.6,pg2300,98.5,49.25,6595.305548,236.1617344,1768.14,21.4,"(170.4, 76.68)",0.067588797,x,63,37,37,9.9,.L..../,37,[]
NGC4233,SpiralG,184.28201,7.6244,2000,B,12.9,12.9,Low,,,,,S0^0^,0.007909,0.6,pg2300,,,6614.705185,260.3990517,2669.44,24.19,"(144.6, 80.98)",0.062909499,x,55,175,175,20,.L..0..,174,[]
NGC4316,SpiralG,185.676,9.33247,2000,B,13.6,13.6,Low,,,,,Sbc;Sy         LINER,0.00417,,pg2300,,,6590.166876,293.3671093,1549.35,27.27,"(174.3, 34.86)",0.051015835,x,78,110,110,83.6,.S..6?.,113,[]
NGC4536,SpiralG,188.61271,2.18814,2000,B,11.16,11.16,Medium,,,,,SAB(rs)bc;HII  Sbrst,0.006031,,pg2300,,,6602.380247,347.2467113,2102.59,33.87,"(456.0, 192.0)",0.045446024,"1854, 2311, strong",65,130,x,85.9,.SXT4..,130,[]
UGC05357,SpiralG,149.67404,5.26436,2000,B,16.5,16.5,Medium,,,,,Scd:,0.013514,,pg2300,,,6651.489679,256.8563068,4289.35,20.9,"(71.3, 19.9)",0.037145955,"3900 no ID, strong",73,50,50,85.2,x,x,[]
RFGC3781,SpiralG,324.43825,-38.49256,2000,B,15.82,15.82,Low,,,,,Sb,0.030561,,pg2300,,,6763.365731,464.166338,8951.06,48.41,"(79.2, 12.6)",0.034254538,x,80,160,x,x,x,x,[]
NGC0768,SpiralG,29.67056,0.52922,2000,B,14.3,14.3,Medium,,,,,SB(r)bc:,0.023419,,pg2300,,,6716.494213,486.1589792,6752.26,48.61,"(114.6, 34.2)",0.025217109,"7080, medium",72,30,x,85,.SBR4*.,30,[]
NGC4442,SpiralG,187.01618,9.80371,2000,B,11.33,11.33,Low,,,,,SB(s)0^0^,0.001775,,pg2300,,,6574.44897,320.2797078,831.55,26.5,"(357.0, 182.07)",0.024981939,x,59,83,83,8.7,.LBS0..,87,[]
NGC4247,SpiralG,184.492,7.27395,2000,B,14.36,14.36,Low,,,,,(R)SAB(s)ab pec?,0.012802,,pg2300,,,6646.816966,332.7414514,4136.31,23.22,"(82.2, 70.69)",0.008405608,x,30,85,85,6.9,RSXS2P$,-99,[]
IC5325,SpiralG,352.18096,-41.33347,2000,B,11.83,11.83,Low,,,,,SAB(rs)bc,0.005013,,pg2300,,,6595.699316,314.3353632,1246.2,20.45,"(233.0, 212.03)",0.006207841,"1598, weak",24,15,15,64.1,.SXT4..,-99,"[('LGG472', '19.0675242541', '2.43668845184')]"
CGCG072-007,Galaxy,197.31227,8.53172,2000,B,15.2,15.2,Medium,,,,,x,0.023746,,pg2300,,,6718.640249,439.8537278,7413.25,32.75,"(64.7, 41.41)",0.005541604,"7279, medium",50,10,10,43.2,x,x,[]
NGC5786,SpiralG,224.73442,-42.01336,2000,B,9.56,9.56,High,23,25,5,,(R'_2)SAB(s)bc,0.01,,pg2300,100,50,6628.428,400.3026668,3124.36,26.57,"(208.4, 95.86)",0.003206079,"3141, strong",62,80,80,0.8,PSBS4..,63,[]
NGC1566,SpiralG,65.00175,-54.93781,2000,B,10.3,10.3,Medium,,,,,(R'_1)SAB(rs)bcSy1,0.005017,,pg2300,,,6595.725568,421.6889476,1360.57,28.57,"(498.0, 396.0)",0.003134189,"1050, 1360, 1500 no IDs",37,60,x,9.9,.SXS4..,60,"[('LGG114', '18.6300428986', '1.72617861283')]"
NGC4307,SpiralG,185.52368,9.04363,2000,B,13.4,13.4,Low,,,,,Sb;LINER       HII,0.003643,,pg2300,,,6586.70828,340.717285,1391.24,20.65,"(183.4, 33.01)",0.00276385,x,79,25,25,6.1,.S..3./,24,[]
IC3255,SpiralG,185.89475,9.64861,2000,B,16.5,16.5,Low,,,,,Sbc(s)II,0.021567,,pg2300,,,6704.339908,351.7880281,6765.47,21.48,"(46.5, 39.06)",0.002611635,x,32,155,155,1.1,x,x,"[('UZC486', '103.220778349', '5.9786354291')]"
NGC2855,SpiralG,140.36454,-11.9095,2000,B,12.63,12.63,Low,,,,,(R)SA(rs)0/a  LINER?,0.006328,,pg2300,,,6604.329398,387.0154279,2080.37,23.7,"(185.9, 148.72)",0.001864096,x,36,125,125,47.7,RSAT0..,-99,[]
NGC2962,SpiralG,145.22473,5.16581,2000,B,12.96,12.96,Medium,,,,,(R)SAB(rs)0+,0.006558,,pg2300,,,6605.838842,445.1739485,2189.95,28.98,"(174.9, 90.95)",0.001835688,"2000, no IDs",58,3,0,61.2,RLXT+..,3,[]
SDSSJ124044.25+093838.7,Galaxy,190.18438,9.64411,2000,B,16.99,16.99,Low,,,,,x,0.024537,,pg2300,,,6723.831424,352.6927094,7655,20.61,"(39.4, 22.9)",0.001783031,x,54,156,156,12.9,x,x,[]
2MASXJ11383327-1344240,Galaxy,174.6386,-13.74015,2000,B,14.33,14.33,Medium,,,,,x,0.031749,,pg2300,,,6771.162337,443.2814439,9779.72,23.11,"(34.6, 22.84)",0.000196039,lots but no IDs,48,40,40,84.8,x,x,[]
UGC08153,SpiralG,195.77465,3.99188,2000,B,15.4,15.4,Low,,,,,Sd,0.00955,,pg2300,,,6625.47474,425.3744992,3155.77,20.64,"(100.6, 89.6)",0.00010221,x,27,22,x,x,.S..7..,-99,[]
KUG0156-001,Galaxy,29.79728,0.10978,2000,B,15.3,15.3,Low,,,,,Compact,0.01937,,pg2300,,,6689.921436,446.1410499,5538.01,20.77,"(54.9, 44.5)",4.45E-05,"5694, weak",35,18,18,11.6,x,x,[]
UGC00726,SpiralG,17.48983,-1.74969,2000,B,14.59,14.59,Low,,,,,SB(s)d?,0.012866,,pg2300,,,6647.236985,499.7784174,3567.78,23.36,"(95.9, 54.7)",2.27E-05,2 but no IDs,55,144,144,28.1,.SBS7?.,144,[]
SDSSJ082644.50+073017.5,Galaxy,126.68542,7.50488,2000,B,17.6,17.6,Low,,,,,x,0.030537,,pg2300,,,6763.208224,488.1687691,9308.28,20.03,"(31.5, 14.2)",3.33E-06,"9412, strong",63,13,13,25.3,x,x,[]
IC1761,SpiralG,29.71788,0.5683,2000,B,15.16,15.16,Medium,,,,,S0?,0.023368,,pg2300,,,6716.15951,492.273862,6737.4,20.2,"(43.9, 36.88)",3.12E-06,"7080, medium",32,50,50,75.7,x,x,[]
